Sentences,Aspect,Target,Polarity,Time
"
Rumah sakit yang semakin menjadi banyak rujukan krn fasilitasnya yang makin lengkap dan pelayanan yang makin berkembang

Lokasi yang strategis di selatan jakarta, di foto saya ini adalah akses pintu belakang dengan fasilitas parkir yang luas dan tempat makan dengan banyak pilihan, lumayan membantu mempermudah bagi keluarga pasien yang menunggu untuk mencari makan.","Test&Examination, Parking, Food","NULL, NULL, NULL","Positive, Positive, Positive",2 years ago
"
Pasien nya penuh... terutama di poly tulang",NULL,Poly Orthopedic,Negative,a year ago
"
Berobat tunai datang pagi percuma... kasir nya datang jam 8, pelayanan tunai yg sangat buruk, gabisa cepat apa??? Dateng kok jam 8... sekolah aja dateng jam 7 lewat udh di beri hukuman","Receptionist&Billing, Waiting Time","NULL, NULL","Negative, Negative",2 years ago
"
Pelayanannya lebih ditingkatkan lagi...berobat rawat jalan lama banget,antriannya panjang..karena rujukannya ke RS ini banyak,datang pagi-pagi pulangnya sore,,baik itu bayar Tunai ataupun pake Bpjs",Waiting Time,NULL,Negative,2 years ago
"
Manajemen rumah sakit menerapkan Prosedur yg terlalu panjang untuk sekedar pendaftaran baru sampai dilakukan tindakan bisa sampai menunggu berjam jam...untuk ke poli bedah dg rujukan BPJS harus meminta jadwal dan dijadwalkan bisa sampai 4 bulan dg alasan kuota terbatas. Bagian administrasi dan Perawat yg bertugas kurang diajari communication skill...sehingga terkesan kurang komunikatif dan terlihat judes serta jutek...untuk Rumh sakit sekelas Nasional fasilitas yg ada untuk.pasien kurang memadai...toilet kotor dan bau...tidak disediakan hand sanitizer di setiap lantai atau Poli","Receptionist&Billing, Waiting Time, Nurse, Test&Examination, Cleanliness","NULL, NULL, NULL, NULL, Toilet","Negative, Negative, Negative, Negative, Negative",2 years ago
"
Pelayanan BPJS nya ok. Tapi salah satu dokternya malah sempat adu argumen dg suami, dan suami menolak anatesis dokter tsb. Susternya banyak siswa pkl.","Doctor, Nurse","NULL, NULL","Positive, Negative",2 years ago
"
Perawatnya sekolah tinggi"" omongannya kaya org gk sekolah ijasanya nembak ya,,.Uda kaya di penjara kalo ngomong..",Nurse,NULL,Negative,a year ago
"
Dari mulai securitynya judes banget ga ramah ,susternya judes banget, dokterny apa lagi  judes banget seharusnya sama pasien haruss ramah dan sopan","Nurse, Doctor","NULL, NULL","Negative, Negative",a year ago
"
Meski antri ya harus kita maklumi, yg sakit banyak dan yg butuh obat juga banyak.  Sabar menunggu dan jangan lupa sambil berzikir",Waiting Time,NULL,Neutral,2 years ago
"
Gara gara dokter gila bokap gua jadi sengsara dasar rs sampah, demi Allah Allah laknat Rumah Sakit yang satu ini bajingan",Doctor,NULL,Negative,2 years ago
"
Rumah Sakit Umum Pusat di Jakarta Selatan yang hampir lengkap, dan menjadi rujukan dari mana2. Maka wajar saja antrian BPJS nya panjang. Disarankan untuk datang pagi sekali untuk ambil no antrian BPJS.",Waiting Time,NULL,Negative,2 years ago
"
Fasilitas lengkap...tp masih pilih pilih pasien",Test&Examination,NULL,Negative,a year ago
"
Karena sebagai pusat rujukan, antriannya pasti banyak. Nomor antrian pendaftaran mulai dibuka jam 05.45 pagi. Loket pendaftaran dibuka jam 7-12
Kalau mau mulai antri dari malam atau sebelum subuh, bisa mengisi antrian manual biasanya di mushola depan dekat gerbang masuk",Waiting Time,NULL,Negative,2 years ago
"
Penanganannya kurang baik, terlalu bertele-tele..",Waiting Time,NULL,Negative,a year ago
"
Antri dari jam 4 subuh... nunggu sampe jam 9.30 wib.. dokternya blm datang juga, kasian ibu saya hrs menunggu lama. Tolong perbaikan sytem SDM.. (dokter) biar pasien tidak terbengkalai...  

Parah, Kurangnya fasilitas untuk area parkir pasien !!! (Karyawan prioritas) zonk.

#savepasien.","Waiting Time, Doctor, Parking","NULL, NULL, NULL","Negative, Negative, Negative",2 years ago
"
Parkir & kompleknya luas",Parking,NULL,Positive,4 months ago
"
Oke nih",NULL,NULL,Positive,a year ago
"
VERY BAD SERVICE AND UNPROFESSIONAL..! tidak segera melayani pasien, dan apakah pantas seorang dokter ditanya baik2 lalu menjawab dengan nada emosi ""BACA DONG..!!""  baru kali itu ketemu dokter seperti itu... tolong diperbaiki cara memperlakukan pasien..!!!!","Waiting Time, Doctor","NULL, NULL","Negative, Negative",2 years ago
"
Not recommended at all! Overall pelayanan buruk, dokternya pun datangnya sangat telat dari waktu yang dijanjikan","Doctor, Waiting Time","NULL, NULL","Negative, Negative",2 years ago
"
Kalau ada BINTANG MINUS, saya mau kasih MINUS SEBANYAK BANYAKNYA! Pasien Suspek Tumor Abdomen, pakai BPJS baru bisa di CT Scan dan konsultasi sama dokternya 3 minggu lagi! Giliran dibilang bayar tunai langsung ketemu sama dokter dan konsultasi ngobrol2 doank bayar 250 ribu! Apa fungsinya BPJS yah?? Apakah seperti itu diskriminasi bagi warga yang mau memanfaatkan Program Pemerintah?? Kementerian Kesehatan mohon direview kembali ya. Terima kasih.","Test&Examination, Waiting Time","NULL, NULL","Negative, Negative",2 years ago
"
Instalasi Forensik",NULL,NULL,Neutral,a year ago
"
Pelayananya  baik",NULL,NULL,Positive,a year ago
"
dari bbrp rumah sakit yg pernah sy alami, rsup Fatmawati yg terbaik respon dan pelayanan dr semua petugasnya",NULL,Fatmawati Hospital,Positive,a year ago
"
Pernah ayah dirawat disini,baru sehari udah minta pindah,susternya galak2 sih,ngga sabaran banget ngerawat pasien",Nurse,NULL,Negative,2 years ago
"
Sebenarny dokter dan perawatny baik2, tapi petugas administrasiny yang resek. Mereka yang salah tidak lengkap memberikan informasi tapi pasien yang malah diomelin.","Doctor, Nurse, Receptionist&Billing","NULL, NULL, NULL","Positive, Positive, Negative",a year ago
"
Mohon hargai pasien yg belum mengerti soal rumah sakit, dan jaga tata bahasa untuk para pekerja di RS. Fatmawati, trims",NULL,Fatmawati Hospital,Negative,a year ago
"
Ke sini buat perawatan gigi anak, pake bpjs. Awalnya males duluan karna dapet rujukannya ke sini, ternyata gak seburuk yang dibayangkan. Dapet drg yang baik dan bagus pelayanannya. Pendaftarannya lewat app di playstore biar ga antri panjang, hehehe","Doctor, Test&Examination, Receptionist&Billing, Waiting Time","NULL, NULL, NULL, NULL","Positive, Positive, Positive, Positive",2 years ago
"
Rumah sakit umum tingkat nasional  hampir sekelas RSCM",NULL,NULL,Positive,a year ago
"
Daerah Fatmawati Jakarta Selatan dekat pondok labu
Rumah sakit yang sudah lama dan terkenal
Pelayanan kesehatan yang diberikan membantu pasien untuk sehat",NULL,NULL,Positive,a year ago
"
Pembuatan kartu berobat Rp.7000, -
Tapi jika anda menyerahkan uang rp.10.000,- anda harus menagih pengembaliannya, karena petugas (saat saya berkunjung) langsung mengarahkan ke poli tanpa menyerahkan uang kembalian.

Untung saat itu saya masih ingat... :)",Receptionist&Billing,NULL,Negative,2 years ago
"
Berkali2 telepon ke 750 1524 ga pernah diangkat","Receptionist&Billing, Waiting Time","NULL, NULL","Negative, Negative",a year ago
"
Parkir luas dan murah",Parking,NULL,Positive,6 months ago
"
Dokternya ganti-ganti terus. Tidak pernah bisa dapat dokter tetap.",Doctor,NULL,Negative,2 years ago
"
Pelayanannya bgs... dokternya ramah2fasilitas rwt inap sesuai dng bpjs yg dipakai msg2 pasien...kamar operasinya ok....radiologi jg laboratoriumnya jg bgs pelayanannya jg penunjang2 yg lain...tdk dipersulit...rwt jlnnya jg ok...minimal dipertahankan trs apa yg dilakukan yg terbaik utk pasien...","Doctor, Test&Examination","NULL, NULL","Positive, Positive",3 years ago
"
Saya dah 2x ke sini, Petugas di poli kandungan marah2 mulu, gk ada yg namanya 3S,, tolong di tanggapi",NULL,Poly Obgyn,Negative,2 years ago
"
Sistem antrian masih harus diperbaiki lagi nih.Disini antrian bisa nyerobot bisa pakai surat cinta #kenalorgdalam. Petugas teledor juga surat rujukan ol di hilangi, jadi klo kesni semua berkas fotokopi dl sebelum diserahkan petugas. Petunjuk ke poli juga ga ada, petugas tidak memberi petunjuk.Disini harus pasien yang sakit yang aktif nanya #pelayananjaditandatanya",Receptionist&Billing,NULL,Negative,3 years ago
"
Pelayanan mungkin bisa lebih ditingkatkan lagi. Waktu di IGD dini hari, terlihat dokter/perawat kurang maksimal. Tapi saat pagi hari lebih baik pelayanannya (mungkin kelelahan ya? Tapi ditingkatkan lagi ya!)
Perawatan saat di Ruang Operasi - Kamar Inap oke.
Tapi waktu mau pulang kenapa ga ada yang nawarin kursi roda ya  Padahal jelas jelas pasien pasca operasi 
But overall ","Doctor, Nurse","Emergency Department, Emergency Department","Neutral, Neutral",3 years ago
"
Pelayanan bagus disini buat BPJS. Insya Allah dibantu.
Dan yg paling berkesan buat sy adlh wkt shlt Ashar saat sy di sini adzan dikumandangkan keseluruh bagian RS. Smg setiap wkt shalat adzan dikumandangkan.
Gedung nya luas""..
Lokasi strategis. Tepat dijln Fatmawati.",NULL,NULL,Positive,3 years ago
"
Perawatan dan penanganan yg cukup bagus sesuai dgn biaya yg di keluarkan.","Test&Examination, Cost","NULL, NULL","Positive, Negative",a year ago
"
Benar-benar mengecewakan. Para suster dan pegawainya tidak ramah, apalagi dokter di poli saya berobat. Saat di periksa, saya disuruh angkat baju padahal disana banyak laki-laki dan tirainya tidak di tutup. Dokternya hanya langsung nulis resep obat, lempar saya ke suster, dan pergi tanpa menjelaskan apa-apa tentang penyakit saya.","Nurse, Doctor, Test&Examination","NULL, NULL, NULL","Negative, Negative, Negative",3 years ago
"
RS pemerintah termasuk terlengkap, pernah dirujuk Dari RS Hermina ciputat ke sini untuk operasi batu ginjal ditembak dari luar.",Test&Examination,NULL,Positive,2 years ago
"
Kurang memuaskan di bagian urologi , harusnya anak sakit dibaikiin bukan dimarahi marahi",NULL,Urology Section,Negative,2 years ago
"
PELAYANAN YANG SANGAT BURUK & LAMBAT. ORANG YG UDAH SAKITNYA PARAH KEBURU MATI WOY!",Waiting Time,NULL,Negative,2 years ago
"
Antre kacau, janji ketemu dokter 2 bulan, diundur 2 minggu, eh diundur lagi 1 bulan. Ujung-ujungnya yang nanganin residen.",Waiting Time,NULL,Negative,2 years ago
"
Pelayanan bagus, petugas cekatan, baik, peralatan lengkap dan tempat/lokasiny dipingir jalan raya simpang  Fatmawaty","Waiting Time, Test&Examination","NULL, NULL","Positive, Positive",2 years ago
"
pelayanananya kurang memuaskan, ke IGD bamun tidak ada dokternya.",Doctor,Emergency Department,Negative,a year ago
"
pelayanan nya sih lumayan bagus, cuma untuk dapetin kamar rawat inap disini susah! VIP aja penuh, apa lagi yg lain. anak sy sempet ct scan disini, nunggu di igd buat masuk kamar, kamar VIP full, klas 1,2 dan 3 full juga! hadeuuuhhh! mohon ditingkatkan lagi yaa fasilitasnyaa",Waiting Time,NULL,Negative,3 years ago
"
Rumah sakit dengan berbagai Dokter ahli bedah dan umum...",Doctor,NULL,Positive,a year ago
"
susah bgt klo d tlp",Receptionist&Billing,NULL,Negative,a year ago
"
Untuk pelayanan bagus, staff rumah sakit juga membantu.",NULL,NULL,Positive,a year ago
"
Lambat, obat2an ga lengkap, trus tdk trlalu bersih, kcuali gruya husada","Waiting Time, Cleanliness","NULL, NULL","Negative, Negative",a year ago
"
pelajaran berharga sepanjang masa dan tidak akan dilupakan..",NULL,NULL,Neutral,a year ago
"
Fasilitas lengkap dan pelayanan lumayan cepat tanggap hanya saja bila menjalani rawat inap dokter jarang datang kecuali hanya dokter magang atau dokter pengganti","Test&Examination, Waiting Time, Doctor","NULL, NULL, NULL","Positive, Positive, Negative",3 years ago
"
Good,, tp harus masih banyak yg harus tetap d perbaiki dlm pelayanan dan fasilitas nya",Test&Examination,NULL,Negative,2 years ago
"
Karena anggota keluarga ada yg rawat jalan dari 2007-Sekarang.....Di PTRM.....",NULL,NULL,Neutral,3 years ago
"
Ini kah pelayanan yg didapat oleh masarakat yg berobat maupun rawat inap,?terlalu bnyak loket admin yg gk perlu terlalu lama pelayananya 
Yg namanya orng sakit itu harusnya diperlakukan sesui tindakan medis yg seharusnya","Receptionist&Billing, Waiting Time","NULL, NULL","Negative, Negative",3 years ago
"
luar biasa nih di tlp ga ada yang angkat, bahkan malah suara sengaja ditutup. ckckck",Receptionist&Billing,NULL,Negative,2 years ago
"
Rs. Fatmawati adalah rumah sakit dengan pelayanan informasi yg sangat buruk .. Saya hamil 8 bulan hanya utk USG fetomaternal dilempar kesana kemari.. Bad hospital!!",Receptionist&Billing,Fatmawati Hospital,Negative,4 years ago
"
Well ada positif negatifnya sih. Positifnya Fatmawati pernah berikan bantuan operasi TBC Tulang untuk rekan perantau Minang yang diajukan PDD (Palanta Darah Dharmais) dan negatifnya harus antri lama walau itu pasien kecelakaan sekalipun","Test&Examination, Waiting Time","Fatmawati Hospital, Fatmawati Hospital","Positive, Negative",3 years ago
"
Pelayanan serba lambat, kalo ga tanya inisiatif sndiri bakal didiemin ga dilayanin, perawat dimintain tolong cuma iya2 aja, baru dateng sejam ato lebih kemudian, bahkan pernah tengah malem minta tolong, sampe 3x baru siang besoknya dilayani.. Lbh baik ke rs swasta skalian deh..","Waiting Time, Nurse","NULL, NULL","Negative, Negative",6 years ago
"
Lingkungan sekitar rumah sakit bersih ,pelayanan sudah baik ,tempat nya juga strategis ,kantin juga tetap terjaga kebersihan nya",Cleanliness,NULL,Positive,2 years ago
"
Sembuh berkah",NULL,NULL,Positive,a year ago
"
Antrian banyak yg nyelip g sesuai nomor","Waiting Time, Receptionist&Billing","NULL, NULL","Negative, Negative",2 years ago
"
Dokter n suster yg sudah melayani dengan baik,semoga kedepan tambah baik.
Dokter n suster yg belum bisa melayani dengan baik,semoga kedepannya menjadi lebih baik.
Amiin...","Doctor, Nurse","NULL, NULL","Neutral, Neutral",3 years ago
"
Pelayanan lambat, hasil lab tidak tepat waktu, petugas dengan seenaknya bilang: ""besok datang lagi saja"", padahal rumah jauh, ongkos PP taksi bisa 180rb.","Waiting Time, Test&Examination","NULL, NULL","Negative, Negative",4 years ago
"
kurang fast respone jari gw putus ... ditanganin nunggu 20 jam dulu... nasib bpjs",Waiting Time,NULL,Negative,3 years ago
"
Merawat hidup",NULL,NULL,Neutral,a year ago
"
Poli Fisioterapi cukup baik",NULL,Poly Physiotherapy,Positive,11 months ago
"
Proses mengurus rawat jalan dengan BpJs di RSUP fatmawati.buka loket jam 07-12 siang.loket no. antrian bpjs jam 06 pagi",Receptionist&Billing,Fatmawati Hospital,Neutral,3 years ago
"
Sy berobat di sini belum selesai, dokternya kurang banyak jadi antrian menumpuk, atau pasiennya yang terlalu banyak??? Parkiran motor lumayan memadai dan secure...","Doctor, Waiting Time, Parking, Safety","NULL, NULL, NULL, NULL","Negative, Negative, Negative, Positive",4 years ago
"
Biar bintang yg menilai pelayanan RS ini...",NULL,NULL,Negative,a year ago
"
RSUP rujukan nasional",NULL,NULL,Positive,9 months ago
"
Tempat parkirnya ga jelas.. Ga tau ini design rumah sakitnya yg bkin gmna..
Klo pelayanannya ga jelas jg.. Mending ganti  rs deh..",Parking,NULL,Negative,5 years ago
"
Parkirnya sempit bgt buat ke gedung sularto.. becek dimana2",Parking,NULL,Negative,2 years ago
"
Bagus",NULL,NULL,Positive,9 months ago
"
kurang  keberpihakan pada pasien miskin, kurang dalam arti bukan tidak punya keberpihakan tapi perlu ditingkatkan",NULL,NULL,Negative,2 years ago
"
Susternya tidak membantu dengan baik.",Nurse,NULL,Negative,2 years ago
"
Melayani dengan Baik",NULL,NULL,Positive,9 months ago
"
Pelayanan nya bagus",NULL,NULL,Positive,2 years ago
"
Pelayanannya lumayan tetapi para pekerjanya kurang ramah",NULL,NULL,Neutral,a year ago
"
Bersih",Cleanliness,NULL,Positive,10 months ago
"
Petugas Security nya Konsisten menjaga Pintu Masuk Ruangan Pasien, Sebelum jam besuk tidak boleh masuk berkelompok. , sehingga pasien tidak terganggu istirahatnya,,,,",Safety,NULL,Positive,5 years ago
"
RSUP yang keren, ada tanaman hidroponiknya, tanaman sayur organik untuk pasien",NULL,NULL,Positive,2 years ago
"
Pernah singgah di sini untuk ngejagain adik ku yg sedang dirawat karena menderita penyakit lekimia.",NULL,NULL,Neutral,4 years ago
"
Jalanan parkiran motor ancur balao...klo mau dirawat selalu penuh dha tempatnya",Parking,NULL,Negative,5 years ago
"
Perawatnya pada kurang ramah",Nurse,NULL,Negative,a year ago
"
Lokasi taman....sebagai ruang tunggu ....sangat nyaman",NULL,NULL,Positive,2 years ago
"
pernah cek lab d sini, cuapeknyak mondar mandir jauh dr satu gedung ke gedung yg lain....",Test&Examination,NULL,Negative,3 years ago
"
Sangat berkualitas tidak membedakan pelayanan terhadap semua pasien.",NULL,NULL,Positive,2 years ago
"
Ada gedung baru dibagian belakang, untuk ruang rawat inap ""anggrek""",NULL,Anggrek Inpatient Room,Positive,3 years ago
"
Parah bener ya pelayanannya. Ngomongnya jutek banget lagi.",NULL,NULL,Negative,2 years ago
"
Rumah' sakit bisa punya mesin Hemodialisa sekitar 40 buah.mantapp",Test&Examination,NULL,Positive,2 years ago
"
Medical chek up untuk persyaratan kerja. Bukber juga ma konco konco",Test&Examination,NULL,Positive,a year ago
"
saat adik aku ngambil darah pelayannya lambat adik aku kesakitan aturan cepet padahal adik aku masih bayi",Test&Examination,NULL,Negative,4 years ago
"
Serem deh.!!!",NULL,NULL,Negative,2 years ago
"
Faskesnya baik, tapi sayang pelayanan perawatnya kurang.","Test&Examination, Nurse","NULL, NULL","Positive, Negative",2 years ago
